"No.","Time","Source","Destination","Protocol","Length","Info"
"194","49.617995","192.168.0.2","84.196.158.177","TELNET","84","Telnet Data ..."
"195","49.620782","84.196.158.177","192.168.0.2","TELNET","69","Telnet Data ..."
"196","49.621178","192.168.0.2","84.196.158.177","TCP","66","23  >  39628 [ACK] Seq=31 Ack=4 Win=28960 Len=0 TSval=33558 TSecr=9210295"
"197","49.726128","84.196.158.177","192.168.0.2","TELNET","84","Telnet Data ..."
"198","49.726691","192.168.0.2","84.196.158.177","TCP","66","23  >  39628 [ACK] Seq=31 Ack=22 Win=28960 Len=0 TSval=33569 TSecr=9210322"
"199","49.824368","84.196.158.177","192.168.0.2","TELNET","73","Telnet Data ..."
"200","49.825046","192.168.0.2","84.196.158.177","TCP","66","23  >  39628 [ACK] Seq=31 Ack=29 Win=28960 Len=0 TSval=33578 TSecr=9210347"
"201","49.826859","192.168.0.2","84.196.158.177","TELNET","73","Telnet Data ..."
"202","49.968196","84.196.158.177","192.168.0.2","TCP","66","39628  >  23 [ACK] Seq=29 Ack=38 Win=5840 Len=0 TSval=9210383 TSecr=33579"
"203","49.968840","192.168.0.2","84.196.158.177","TELNET","76","Telnet Data ..."
"204","49.979612","192.168.0.2","37.115.148.29","TELNET","98","Telnet Data ..."
"205","50.062276","84.196.158.177","192.168.0.2","TCP","66","39628  >  23 [ACK] Seq=29 Ack=48 Win=5840 Len=0 TSval=9210407 TSecr=33593"
"206","50.066129","84.196.158.177","192.168.0.2","TELNET","71","Telnet Data ..."
"207","50.104800","37.115.148.29","192.168.0.2","TCP","66","45100  >  23 [ACK] Seq=36 Ack=81 Win=5840 Len=0 TSval=29182857 TSecr=33594"
"208","50.105102","37.115.148.29","192.168.0.2","TELNET","73","Telnet Data ..."
"209","50.105638","192.168.0.2","84.196.158.177","TCP","66","23  >  39628 [ACK] Seq=48 Ack=34 Win=28960 Len=0 TSval=33607 TSecr=9210407"
"210","50.107413","192.168.0.2","37.115.148.29","TELNET","72","Telnet Data ..."
"211","50.198309","84.196.158.177","192.168.0.2","TELNET","68","Telnet Data ..."
"212","50.199083","192.168.0.2","84.196.158.177","TCP","66","23  >  39628 [ACK] Seq=48 Ack=36 Win=28960 Len=0 TSval=33616 TSecr=9210442"
"213","50.201963","192.168.0.2","84.196.158.177","TELNET","68","Telnet Data ..."
"214","50.232596","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
"215","50.237649","192.168.0.2","37.115.148.29","TELNET","78","Telnet Data ..."
"216","50.338236","84.196.158.177","192.168.0.2","TCP","66","39628  >  23 [ACK] Seq=36 Ack=50 Win=5840 Len=0 TSval=9210476 TSecr=33616"
"217","50.363050","37.115.148.29","192.168.0.2","TELNET","73","Telnet Data ..."
"218","50.394912","192.168.0.2","37.115.148.29","TCP","66","23  >  45100 [ACK] Seq=99 Ack=52 Win=28960 Len=0 TSval=33636 TSecr=29182921"
"219","50.520130","37.115.148.29","192.168.0.2","TELNET","68","Telnet Data ..."
"220","50.520894","192.168.0.2","37.115.148.29","TCP","66","23  >  45100 [ACK] Seq=99 Ack=54 Win=28960 Len=0 TSval=33648 TSecr=29182960"
"221","50.523486","192.168.0.2","37.115.148.29","TELNET","68","Telnet Data ..."
